SMILES,Idx,FID
[16*]c1cc2c3c([16*])c4cc(Cl)c(Cl)cc4c([16*])c3c3cc([16*])cc4c5c([16*])c6cc(Cl)c(Cl)cc6c([16*])c5c(c1)c2c34,6,212
[16*]c1cc2c3c([16*])c4cc(Cl)c(Cl)cc4c([16*])c3c3cc([16*])cc4c5c([16*])c6cc(Cl)c(Cl)cc6c([16*])c5c(c1)c2c34,16,212
[16*]c1cc2c3c([16*])c4cc(Cl)c(Cl)cc4c([16*])c3c3cc([16*])cc4c5c([16*])c6cc(Cl)c(Cl)cc6c([16*])c5c(c1)c2c34,21,436
[16*]c1cc2c3c([16*])c4cc(Cl)c(Cl)cc4c([16*])c3c3cc([16*])cc4c5c([16*])c6cc(Cl)c(Cl)cc6c([16*])c5c(c1)c2c34,26,212
[16*]c1cc2c3c([16*])c4cc(Cl)c(Cl)cc4c([16*])c3c3cc([16*])cc4c5c([16*])c6cc(Cl)c(Cl)cc6c([16*])c5c(c1)c2c34,36,212
[16*]c1ccc2c(c1)C(C)(C)c1ccccc1S2(=O)=O,0,198
[7*]=Cc1ccccc1,0,28
[7*]=Cc1ccnc([14*])c1,0,433
[7*]=Cc1ccnc([14*])c1,7,358
[16*]c1ccc(C#N)cc1[16*],0,15
[16*]c1ccc(C#N)cc1[16*],9,27
[16*]c1c([16*])c([16*])c([16*])c([16*])c1[16*],0,0
[16*]c1c([16*])c([16*])c([16*])c([16*])c1[16*],3,0
[16*]c1c([16*])c([16*])c([16*])c([16*])c1[16*],5,0
[16*]c1c([16*])c([16*])c([16*])c([16*])c1[16*],7,0
[16*]c1c([16*])c([16*])c([16*])c([16*])c1[16*],9,0
[16*]c1c([16*])c([16*])c([16*])c([16*])c1[16*],11,0
[14*]c1nc([14*])c2ccccc2n1,0,191
[14*]c1nc([14*])c2ccccc2n1,4,226
[14*]c1cc([14*])nc(C#N)n1,0,343
[14*]c1cc([14*])nc(C#N)n1,4,343
[14*]c1ncc([16*])cn1,0,24
[14*]c1ncc([16*])cn1,5,98
[16*]c1ccc2c(c1)c1ccccc1n2/C=C/c1ccccc1,0,171
[14*]c1nc2ccc(F)cc2nc1[14*],0,267
[14*]c1nc2ccc(F)cc2nc1[14*],12,253
[16*]c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2S(=O)(=O)c2ccccc21,0,377
[16*]c1ccc2ccccc2c1,0,97
[16*]c1ccc2c(c1)-c1cc([16*])ccc1C2=O,0,158
[16*]c1ccc2c(c1)-c1cc([16*])ccc1C2=O,10,158
[14*]c1nc2cc([16*])cnc2nc1[14*],0,123
[14*]c1nc2cc([16*])cnc2nc1[14*],6,134
[14*]c1nc2cc([16*])cnc2nc1[14*],12,114
[4*]CCCC,0,72
[7*]=Cc1ccc2nc(C=[7*])c([14*])nc2c1,0,229
[7*]=Cc1ccc2nc(C=[7*])c([14*])nc2c1,9,262
[7*]=Cc1ccc2nc(C=[7*])c([14*])nc2c1,11,248
[7*]=CC1=C(C#N)C(=[7*])OC1([13*])C,0,259
[7*]=CC1=C(C#N)C(=[7*])OC1([13*])C,7,246
[7*]=CC1=C(C#N)C(=[7*])OC1([13*])C,10,247
[5*]N1c2ccccc2C2(c3ccccc3-c3cccc([16*])c32)c2ccccc21,0,42
[5*]N1c2ccccc2C2(c3ccccc3-c3cccc([16*])c32)c2ccccc21,20,254
[14*]c1ccc2cccnc2n1,0,70
[16*]c1ccc2c(c1)C1(c3ccccc3S(=O)(=O)c3ccccc31)c1cc([16*])ccc1S2(=O)=O,0,101
[16*]c1ccc2c(c1)C1(c3ccccc3S(=O)(=O)c3ccccc31)c1cc([16*])ccc1S2(=O)=O,26,101
[5*]N1c2ccccc2C(C)(C)C2C=CC=CC21,0,160
[16*]c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1,0,51
[15*]C1([15*])CCCCC1,0,111
[15*]C1([15*])CCCCC1,2,111
[16*]c1ccc(P(=S)(c2ccccc2)c2ccccc2)cc1,0,496
[9*]n1c2ccccc2c2cc(C3(c4c(F)c(F)nc(F)c4F)c4ccccc4-c4ccccc43)ccc21,0,486
[16*]c1ccc2c(c1)C(CC)(CC)c1ccccc1-2,0,511
[4*]CCCC[8*],0,72
[4*]CCCC[8*],5,38
[16*]c1ccc2c(c1)C(C)(C)c1ccccc1-2,0,56
[16*]c1cc2cccc3ccc4cccc1c4c32,0,84
[16*]c1ccc2c(=O)c3ccccc3oc2c1,0,569
