FID,SMILES,frequency
307,[7*]=C(O)c1ccccc1,2
308,[7*]=C(C#N)c1cccs1,2
309,[9*]n1c2ccccc2c2ccc3[nH]c4ccccc4c3c21,2
310,[16*]c1ccc2c(c1)C1(c3ccccc3Nc3ccccc31)c1ccccc1C21c2ccccc2Nc2ccccc21,2
311,[16*]c1ccc(B2c3ccccc3Oc3ccccc32)cc1,2
312,[16*]c1c(C#N)cccc1C#N,2
313,[14*]c1ncco1,2
314,[5*]N1c2ccccc2C2(c3ccccc3C(=O)c3ccccc32)c2ccccc21,2
315,[14*]c1ccn2nccc2n1,2
316,[8*]C(F)(F)CC(F)(F)C(F)(F)F,2
317,[16*]c1ccc(C2=C(c3ccccc3)[Si]3(C(c4ccccc4)=C(c4ccccc4)C(c4ccccc4)=C3c3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1,2
318,[7*]=Cc1sccc1C,2
319,[9*]n1c2ccccc2c2ccc3oc4ccccc4c3c21,2
320,[9*]n1c2ccccc2c2cc3[nH]c4ccccc4c3cc21,2
321,[16*]c1ccc2c(c1)oc1cc(P(=O)(c3ccccc3)c3ccccc3)ccc12,2
322,[4*]CCCCCCCCC,2
323,[16*]c1ccn2ncnc2c1,2
324,[16*]c1ccc2c(c1)c1ccccc1n1c3ccccc3nc21,2
325,[14*]c1ccnc2ccnn12,2
326,[16*]c1ccc2c(c1)Oc1ccccc1B2c1ccccc1,2
327,[16*]c1c(C#N)ccc2c1[nH]c1ccccc12,2
328,[16*]c1ccc(CO)cc1,2
329,[14*]c1cnc[nH]1,2
330,[16*]c1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1ccccc1-2,2
331,[14*]c1c[nH]cn1,2
332,[9*]n1c2ccccc2c2cc(C)ccc21,2
333,[16*]c1cccc2c1Oc1cccc3c1B2c1ccccc1O3,2
334,[14*]c1cc2c(ccc3c4ccsc4ccc23)s1,2
335,[5*]N1c2ccccc2C2(c3ccccc3Sc3ccccc32)c2ccccc21,2
336,[14*]c1ccnc(Cl)n1,2
337,[9*]n1c2cc(C)ccc2c2ccc(C)cc21,2
338,[16*]c1ccc(C2(c3ccccc3)c3cc(F)ccc3-c3cc4c(cc32)-c2cc3c(cc2C4(c2ccccc2)c2ccccc2)-c2ccccc2C3(C)C)cc1,2
339,[6*]C(=O)CCCC=O,2
340,[7*]=C1SC(=S)NC1=O,2
341,[16*]c1ccc2c(c1)Nc1ccccc1S2(=O)=O,2
342,[7*]=CC1=CCC=C(C(C)(C)C)O1,2
343,[14*]c1ccnc(C#N)n1,2
344,[16*]c1cc(Br)c2c3c1Oc1ccccc1B3c1ccccc1O2,2
345,[4*]CCCCCCCCCCCCCC,2
346,[9*]n1c2c(c3ccccc31)CCc1c-2[nH]c2ccccc12,2
347,[9*]n1c2ccccc2c2sc3ccccc3c21,2
348,[16*]c1cc(P(=O)(c2ccccc2)c2ccccc2)cc(P(=O)(c2ccccc2)c2ccccc2)c1,2
349,[1*]C(=O)CC#N,2
350,[14*]c1cnc2cc(F)c(F)cc2n1,2
351,[16*]c1ccc2c(c1)c1ccccc1c1nc[nH]c21,2
352,[1*]C(=O)CCP(=O)(O)O,2
353,[14*]c1ccc2ccc3cccnc3c2n1,2
354,[7*]=Cc1sc(C)cc1C,2
355,[16*]c1cc2c3cc4cc(Br)c(Br)cc4cc3c3cccc4c5cc6cc(Br)c(Br)cc6cc5c(c1)c2c34,2
356,[14*]c1ncc[nH]1,2
357,[14*]c1cc(F)c(C)s1,2
358,[14*]c1cc(C)ccn1,2
359,[16*]c1ccc2nc3c4ccc(C#N)cc4c4cc(C#N)ccc4c3nc2c1,2
360,[4*]CC(CC)CCCC,2
361,[10*]N1C(=O)C2=C(c3ccccc3)NC(=O)C2=C1c1ccccc1,2
362,[14*]c1ccnc(Br)n1,2
363,[16*]c1cscc1F,2
364,[9*]n1ccnc1,2
365,[16*]c1c(F)cc(F)cc1C#N,2
366,[14*]c1cc(F)cs1,2
367,[14*]c1nccs1,2
368,[16*]c1ccc2ncnn2c1,2
369,[14*]c1cscn1,2
370,[14*]c1ncns1,2
371,[8*]CC(CCCCCCCCCC)CCCCCCCCCCCC,2
372,[16*]c1ccc2c(c1)c1ccccc1c1nc3cc(C#N)c(C#N)cc3nc21,2
373,[16*]c1ccc2c(=O)cc(C)oc2c1,2
374,[16*]c1ccc2c(c1)c1ccccc1c1nc3cccnc3nc21,2
375,[9*]n1c2ccccc2c2ccc3c4ccccc4[nH]c3c21,2
376,[16*]c1ccc2c(c1)C1(Cc3ccccc3C1)c1ccccc1-2,2
377,[16*]c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2S(=O)(=O)c2ccccc21,2
378,[16*]c1ccc(S(=O)(=O)c2ccccn2)nc1,2
379,[9*]n1c2ccccc2c2cc(C3=C(c4ccc5[nH]c6ccccc6c5c4)C(=O)NC3=O)ccc21,2
380,[16*]c1cc(C#N)cc(C#N)c1,2
381,[10*]N1C(=O)CSC1=S,2
382,[16*]c1ccc2c(c1)C1(c3ccccc3Oc3ccccc31)c1ccccc1-2,2
383,[16*]c1ccc(C2=C(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)[Si]23C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C3c2ccccc2)cc1,2
384,[16*]c1ccc2c(c1)S(=O)(=O)c1ccccc1N2,2
385,[6*]C(=O)CCC=O,2
386,[16*]c1ccc(C#N)c(C)c1,2
387,[9*]n1c2ccccc2c2cc3c4ccccc4n4c5ccccc5c(c21)c34,2
388,[14*]c1nccnn1,2
389,[9*]n1c2ccccc2c2cccnc21,2
390,[16*]c1csc(C)c1F,2
391,[14*]c1sccc1F,2
392,[7*]=C(C)C(C)(C)C,2
393,[14*]c1cnc2ccncc2n1,2
394,[5*]NC,2
395,[16*]c1cc2ccc3cccc4c5nc(C#N)c(C#N)nc5c(c1)c2c34,2
396,[16*]c1cccc2c1C(=O)c1ccccc1S2(=O)=O,2
397,[7*]=C(c1ccccc1)c1ccc2c(c1)[nH]c1ccccc12,2
398,[9*]n1c2ccccc2c2ccc3c4ccccc4sc3c21,2
399,[16*]c1ccc(C#N)c2nsnc12,2
400,[16*]c1ccc2c(c1)c1ccccc1c1[nH]cnc21,2
401,[16*]c1cncc2nsnc12,2
402,[9*]n1c2ccccc2c2cc(C3(c4ccc5[nH]c6ccccc6c5c4)c4ccccc4Sc4ccccc43)ccc21,2
403,[16*]c1ccc2nc3c4cc(C#N)ccc4c4ccc(C#N)cc4c3nc2c1,2
404,[16*]c1ccc2c(c1)C1CC=CC=C1N2,2
405,[16*]c1ccnc2c1ccc1cccnc12,2
406,[16*]c1ccc2c(c1)C1(CCCC1)c1ccccc1-2,2
407,[9*]n1c2ccccc2c2oc3ccccc3c21,2
408,[16*]c1cc(Br)cc(Br)c1,2
409,[16*]c1cc2nccnc2cc1F,2
410,[16*]c1cc2c(cc1C#N)[nH]c1ccccc12,2
411,[7*]=C(C#N)c1ccccc1,2
412,[9*]n1c2ccccc2c2ccc(Cc3ccccc3)cc21,2
413,[16*]c1ccc2c(c1)S(=O)(=O)c1cc3c(cc1-2)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc2c(cc1-3)S(=O)(=O)c1ccccc1-2,2
414,[16*]c1cccnc1C#N,2
415,[16*]c1ccc2c(c1)C(=O)c1ccccc1C2=O,2
416,[16*]c1ccc2c3c1Oc1ccccc1B3c1ccccc1O2,2
417,[16*]c1cnc2c(ccc3cccnc32)c1,2
