,ID,SMILES,HOMO,LUMO,S1,T1,f_S1,f_T1
77,99,CC(C)(C)c1cc(-c2ccccc2)c2c(c1)c1c(ccc3c4cc(-c5cc6c7ccccc7ccc6n5-c5ccc([Si](c6ccccc6)(c6ccccc6)c6ccccc6)c(-n6c7ccccc7c7cc8c(cc76)C(C)(C)c6ccccc6-8)c5)ccc4n(-c4ccccc4)c31)n2-c1ccn2nc3ccccc3c2n1,-4.914923068,-1.65445312,2.9601,2.4169,0.1052,0.0
78,100,CC1(C)c2ccccc2-c2cc3c4cc(-c5cc(Cc6ccccc6)cc(N6c7ccccc7CCc7ccccc76)c5)ccc4n(C(F)(F)F)c3cc21,-4.923358602,-1.062060942,3.4523,2.944,0.0123,0.0
79,101,O=C1c2ccccc2C2(c3ccccc31)c1ccccc1N(c1ccc(-c3ccc4c(c3)C3(c5ccccc5S4)c4ccccc4-c4ccccc43)cc1)c1ccccc12,-5.09805579,-1.677854924,2.8404,2.8159,0.0,0.0
80,103,Cc1nc(-c2ccccc2)cc(-c2ccc3c(c2)-c2ccccc2C32c3ccccc3N3c4ccccc4C(C)(C)c4cccc2c43)n1,-5.0447214460000005,-1.592139014,3.0427,2.8687,0.0012,0.0
81,104,CC1(C)c2ccccc2N(c2ccc3c(c2)N(c2cccc4c2sc2ccccc24)c2ccccc2O3)c2c1ccc1c2oc2ccccc21,-4.789478514,-1.236213902,2.9933,2.8424,0.0009,0.0
82,105,CCC1(C)c2ccccc2N(c2cc3c(cc2N)C(=O)C(C)(C)C3=O)c2ccc(-n3c4ccccc4c4c5ccccc5oc43)cc21,-5.03683014,-2.046569394,2.6293,2.6224,0.0009,0.0
83,106,CN1C(=O)c2cc3cc4cccc(-n5c6ccccc6c6sc7ccccc7c65)c4cc3c3c(F)ccc1c23,-5.15247859,-2.328207384,2.3497,1.8805,0.0022,0.0
84,107,CC1(C)c2ccccc2N(c2cc(C#N)cc3c4cc(C#N)ccc4n(-c4ccc(-c5ccc(C#N)c(C#N)c5)c(CC#N)c4)c23)c2c1ccc1c2sc2ccccc21,-5.566908212,-2.656104754,2.4907,2.4848,0.0027,0.0
85,108,Cc1c(-c2ccc3c(c2)-c2ccccc2C32c3ccccc3N3c4ccccc4C(C)(C)c4cccc2c43)ncnc1-c1ccc2c(c1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1N2c1ccc(Cc2ccccc2)cc1,-4.983495796,-1.266962784,3.3334,2.9807,0.0001,0.0
86,109,C=Cc1ccc(-c2nc(-c3ccc(-n4ccc5c6c(ccc7ccc8ccc(-n9c%10ccccc%10c%10cc(C%11(c%12ccccc%12)c%12ccccc%12-c%12ccccc%12%11)ccc%109)cc8c76)ccc54)cc3C)nc(-c3ccccc3)c2C#N)cc1,-5.147308424,-2.3056219220000003,2.5826,2.4079,0.0229,0.0
87,110,CC1(C)c2ccccc2N(c2ccc(Cc3cc(N4c5ccccc5C5(c6ccccc6C(=O)c6ccccc65)c5ccccc54)ccc3-c3ccc4c(c3)C3(CC3)c3ccccc3-4)cc2)c2ccccc21,-4.909752902,-1.704522096,2.8568,2.8307,0.0,0.0
