MolID,SMILES,HOMO,LUMO,S1,T1,Est
54,CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-n4c5ccc(-n6c7ccccc7c7ccccc76)cc5c5cc(-n6c7ccccc7c7ccccc76)ccc54)cc(c31)O2,-5.210438872,-2.25446449,2.6116,2.0483,0.5633000000000004
55,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-c4cc5c6ccccc6n6c7ccccc7c(c4)c56)c(-n4c5ccccc5c5cc(-c6ccc7c(c6)c6ccccc6n7-c6ccccc6)ccc54)c3)n2)cc1,-4.9524748,-1.94425453,2.614,2.567,0.0469999999999997
56,CC1(C)c2ccccc2N(c2ccc(-c3cnc(C#N)nc3)cc2)c2ccccc21,-5.164451606,-2.441406808,2.2684,2.2636,0.0048000000000003
57,C(=C/c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,-5.240643526,-1.846837718,3.0488,2.0888,0.96
58,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2cc(-n3cccn3)cc(-n3nccn3)c2)cc(-n2c3ccccc3c3ccccc32)c1,-5.42051088,-1.48982415,3.4482,3.0163,0.4318999999999997
59,CCOC(=O)c1c2c3c(ccc(F)c3c3cc4ccccc4cc13)N(C)C2=O,-5.611807022,-2.313241114,2.8406,1.8226,1.0179999999999998
60,CCCCCCCCCCSc1c(-c2cc3sccc3s2)sc2c1sc1c(SCCCCCCCCCC)c(-c3cc4sccc4s3)sc12,-5.051796410000001,-2.073236566,2.719,1.7183,1.0007
61,Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccccc1-c1nc(-c2ccccc2)nc(-c2ccccc2)n1,-5.124722962,-1.783979384,2.7374,2.6709,0.0665
62,CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2cc(C(=O)c3ccccc3)cc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)c2)cc1,-5.07764724,-1.735815206,2.9774,2.4877,0.4897
63,N#Cc1ccc(-n2c(-c3ccc(-c4ccc5ccc6cccc7ccc4c5c67)s3)nc3c4ccccc4c4ccccc4c32)cc1,-5.1073076660000005,-2.04221557,2.5646,1.9172,0.6474
64,O=P(c1ccccc1)(c1ccccc1)c1ccc2c(c1)-c1cc(P(=O)(c3ccccc3)c3ccccc3)ccc1S2(=O)=O,-6.839585390000001,-2.182898508,4.0734,2.8839,1.1895000000000002
65,CC1(C)c2ccccc2N(c2ccc(-c3cc4nc(-c5ccc(C#N)cc5)c(-c5ccc(C#N)cc5)nc4cc3F)cc2)c2ccccc21,-5.0409118500000005,-2.79597135,1.9245,1.9231,0.0014
66,O=P(c1ccccc1)(c1ccccc1)c1ccc2c(c1)oc1cc(-c3ccc(C4(c5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)cc5)c5ccccc5-c5ccccc54)cc3)ccc12,-5.304862430000001,-1.50887213,3.607,2.8646,0.7424000000000004
67,CC1(C)c2ccccc2N(c2ccc(-c3c(C#N)c(-c4cccnc4)nc(-c4cccnc4)c3C#N)cc2)c2ccccc21,-4.974788148000001,-2.770392634,1.8693,1.869,0.0002999999999999
68,Cc1cc(N2c3ccccc3C(C)(C)c3ccccc32)cc(C)c1N1C(=O)c2cccc3cccc(c23)C1=O,-4.707844314,-2.536374594,1.8608,1.8608,0.0
69,Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1N1c2ccccc2C(C)(C)c2ccccc21,-4.9081202180000005,-1.94017282,2.4547,2.448,0.0066999999999999
70,COc1ccc(C(=O)c2c(N(c3ccccc3)c3ccccc3)cccc2N(c2ccccc2)c2ccccc2)cc1,-4.970162210000001,-1.219614948,3.1038,2.998,0.1057999999999999
71,CC(C)(C)c1ccc(-c2c3cc(Cl)c(Cl)cc3c(-c3ccc(C(C)(C)C)cc3)c3c4cc(C(C)(C)C)cc5c6c(-c7ccc(C(C)(C)C)cc7)c7cc(Cl)c(Cl)cc7c(-c7ccc(C(C)(C)C)cc7)c6c6cc(C(C)(C)C)cc(c23)c6c45)cc1,-5.334522856,-1.837857956,3.0225,1.973,1.0495
72,COc1ccc2c(c1)c1ccccc1n2-c1ccc(-c2c(C#N)c(C)nc(C)c2C#N)cc1,-5.234929132,-2.125754568,2.7074,2.5416,0.1657999999999999
73,CC1(C)c2ccccc2S(=O)(=O)c2ccc(-c3ccc4ccc5cccc6ccc3c4c56)cc21,-5.448538622,-1.81500038,3.406,2.0489,1.3571
74,C(=C/c1ccnc(-c2cc(/C=C/c3ccccc3)ccn2)c1)\c1ccccc1,-5.828137652000001,-1.765203518,3.6977,2.2935,1.4042000000000003
75,N#Cc1ccc(N2c3ccccc3Oc3ccccc32)c(-c2cc(C#N)ccc2N2c3ccccc3Oc3ccccc32)c1,-5.163091036,-2.045753052,2.4581,2.437,0.0211000000000001
