,ID,SMILES,HOMO,LUMO,S1,T1,f_S1,f_T1
113,113,N#Cc1cccc(CSCC=Cc2ccc3c(c2)-c2ncccc2[SiH2:2]3)c1C#N,-6.332637008000001,-2.17555143,3.4987,2.781,0.001,0.0
114,114,Cc1c(C)c(-c2ccc3cccnc3c2)c(C)c(C)c1C=Cc1cccc2c1[SiH2:2]c1cccnc1[SiH2]2,-5.938343822,-1.428054272,4.0226,2.8123,0.0017,0.0
115,115,C(C=Cc1cccc2c1sc1ccccc12)=Cc1cccc2c1C=CC2,-5.283909652,-1.4634290920000002,3.6982,2.0259,0.2063,0.0
116,116,Cc1cc(-c2cc(C)c(-c3nc4ccccc4n3C)cc2C)c(C)cc1-c1ccc(-n2c3ccccc3c3ccccc32)cc1,-5.331257488,-0.8745743960000001,3.8897,3.2365,0.3815,0.0
117,117,Cc1cc(C)c(-c2cnc3ccncc3c2)c(C)c1-c1ccc(C2(c3ccc(-c4cccc5c4Sc4ccccc4N5C)cc3)CCCCC2)cc1,-5.029755176,-1.723570076,3.1362,3.1362,0.0,0.0
118,118,Cc1cc(-c2ccc3c(c2)sc2ccccc23)c(C)cc1CSCc1cccc2ncsc12,-5.834668388,-1.175260366,4.0661,3.0059,0.0271,0.0
119,119,Cc1c(C)c(-c2ccc3c(c2)[SiH2:2]c2cnccc2-3)c(C)c(C)c1C#Cc1ccc2c(c1)Oc1ccccc1O2,-5.258330936,-1.549417116,3.4221,2.5171,0.0,0.0
120,120,c1ccc(-n2cnc3ccc(COCc4ccc(C5(c6ccc(-c7cccc8cnccc78)cc6)CCCCC5)cc4)cc32)cc1,-5.812355040000001,-1.330909574,4.0421,2.6503,0.261,0.0
121,121,c1ccc(-c2cncc(-c3ccc(C4(c5ccc(-c6cccc7c6ncc6ccccc67)cc5)CCCCC4)cc3)c2)cc1,-5.710040176000001,-1.478395362,3.6754,2.7036,0.1834,0.0
122,122,N#Cc1ccc(-c2ccc(C3(c4ccc(COCc5cccc6ccncc56)cc4)CCCCC3)cc2)cc1C#N,-6.186239676,-2.330384296,3.6199,2.8168,0.0009,0.0
123,123,Cc1cc(-c2cccc3ncsc23)c(C)cc1-c1c(C)cc(C)c(-c2cc(F)c(F)c(F)c2)c1C,-6.285561286,-1.0430129620000002,4.6223,3.3112,0.0557,0.0
124,124,Cc1cc(-c2cc3cccnc3c3ncccc23)c(C)cc1-c1c(C)cc(C)c(-c2cnc3ncccc3c2)c1C,-6.1601167320000005,-1.7951360580000002,3.7043,2.8101,0.0015,0.0
125,125,Cc1cc(-c2cccc(C(F)(F)F)c2)c(C)cc1C#Cc1ccccc1N(C)C,-5.252344428,-1.411999546,3.3915,2.4701,0.5165,0.0
126,126,Cc1cc(-c2ccnc3oc4ccccc4c23)c(C)cc1-c1ccc(C2(c3ccc(-c4ccnc5c4[SiH2:2]c4ccccc4-5)cc3)CCCCC2)cc1,-6.040386572000001,-1.34288259,4.1675,2.9828,0.2126,0.0
127,127,Cc1c(C)c(-c2c(C)c(C)c(-c3cccc4cccnc34)c(C)c2C)c(C)c(C)c1-c1ccccn1,-5.706230580000001,-1.3684613060000002,3.7526,2.7775,0.0004,0.0
128,128,CN(C)c1cccc2c(CSCc3ccc4c(c3)sc3ccccc34)cccc12,-5.241731982,-1.066414766,3.7485,2.5537,0.154,0.0
129,129,Cc1c(C)c(-c2c(C)c(C)c(-c3cccc4c3C=CC4C)c(C)c2C)c(C)c(C)c1-c1cc(C#N)cc(C#N)c1,-5.853172140000001,-2.0947335720000004,3.5374,2.9181,0.0,0.0
130,130,Cc1c(C)c(-c2cnccn2)c(C)c(C)c1COCc1ccc2ccn(C)c2c1,-5.334250742000001,-1.294718412,3.7774,3.1565,0.0,0.0
131,131,Cc1c(C)c(-c2cccc3c2[SiH2:2]c2cnccc2-3)c(C)c(C)c1-c1cc2ccccc2o1,-5.773986966,-1.54560752,3.8827,3.0319,0.0003,0.0
132,132,Cc1cc(-c2ncnc3ccccc23)c(C)cc1-c1ccc(-c2ccc3ccncc3c2)cc1,-5.913853562,-1.882212538,3.6201,2.6152,0.3874,0.0
133,133,Cc1cc(C)c(-c2c(C)cc(C)c(-c3ccnc4c3[CH2:2]c3cccnc3[SiH2:2]4)c2C)c(C)c1-c1cncc2c1-c1ccccc1[SiH2:2]2,-6.350868646,-1.615812932,3.9784,3.0252,0.001,0.0
134,134,N#Cc1ccc(C#Cc2ccc3c4ccccc4n(-c4ccccc4)c3c2)cc1C#N,-5.819974232,-2.51841507,2.9281,2.2385,0.0309,0.0
