MolID,SMILES
428,c1ccc(-n2c3ccccc3c3ccc(-c4cncc(-c5ccc6c7ccccc7n(-c7ccccc7)c6c5)n4)cc32)cc1
633,c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)nc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1
975,CCn1c(-c2ccncc2)c(-c2ccc(-n3c4ccccc4c4ccccc43)c(C#N)c2)c2c3ccccc3c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc21
601,CC1(C)c2ccccc2N(c2ccc(-c3ccc(C#N)c(C#N)n3)cc2)c2ccccc21
1011,c1ccc(-c2nc(-c3ccccc3)nc(-c3cc4oc5ccccc5c4cc3-n3c4ccccc4c4cc(-c5ccc6c(c5)c5ccccc5n6-c5ccccc5)ccc43)n2)cc1
991,CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)c2c1ccc1c2sc2ccccc21
202,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4ccc(-c5ccc6c(c5)c5ccccc5n6-c5ccccc5)c5ccccc45)cc3)nc3c4ccccc4c4ccccc4c32)cc1
392,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc(-n6c7ccccc7c7ccccc76)ccc54)c(-c4ccccc4)c3)n2)cc1
684,COc1ccc(-c2cncc(-c3ccc(OC)cc3)n2)cc1
423,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cc(C(=O)c2ccc3ccccc3n2)cc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1
103,N#Cc1c(-c2ccccc2)nc(-c2ccccc2)c(C#N)c1-c1ccc(N2c3ccccc3Oc3ccccc32)cc1
1067,C1=Cc2ccc3cccc4c3c2C(C1)c1c-4nc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)n1-c1ccccc1
119,O=P(c1ccccc1)(c1ccccc1)c1ccc2c(c1)-c1ccc(P(=O)(c3ccccc3)c3ccccc3)cc1S2(=O)=O
483,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-c4cccc5c4C4(c6ccccc6-5)c5ccccc5N(c5ccccc5)c5ccccc54)cc3)n2)cc1
638,c1ccc(-n2c3ccccc3c3cc(C4(c5ccc6c(c5)c5ccccc5n6-c5ccccc5)c5ccccc5Sc5ccccc54)ccc32)cc1
792,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc6c7ccccc7n(-c7ccccc7)c6cc54)cc3)n2)cc1
705,O=P(c1ccccc1)(c1ccccc1)c1ccc(-n2c(-c3ccccc3P(=O)(c3ccccc3)c3ccccc3)nc3ccccc32)cc1
639,N#Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1-n1c2ccccc2c2sc3ccccc3c21
874,Cn1nc2c(C#Cc3ccccc3)ccc(C#Cc3ccccc3)c2n1
662,Cc1ccc2c(c1)c1nc3cc(Br)cnc3nc1n2C
761,Cc1c(C)n(-c2ccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)c2ccccc12
68,Cc1cc(N2c3ccccc3C(C)(C)c3ccccc32)cc(C)c1N1C(=O)c2cccc3cccc(c23)C1=O
755,Cc1cc(-c2ccc(-n3c4ccccc4c4cc(C#N)ccc43)cc2)c(C)cc1-c1ccc(-n2c3ccccc3c3cc(C#N)ccc32)cc1
495,CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)c2ccc3sc4ccccc4c3c21
1027,N#Cc1ccc(-n2c(-c3ccc4ccccc4c3)nc3c4ccc(-c5ccc(C=C(c6ccccc6)c6ccccc6)cc5)cc4c4cc(-c5ccc(C=C(c6ccccc6)c6ccccc6)cc5)ccc4c32)cc1
313,CC1(C)c2ccccc2N(c2ccc3c(c2)C(C)(C)c2ccccc2N3c2ccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)c2ccccc21
304,Cc1cc(C)c2c(c1)c1cc(C)cc(C)c1n2-c1cc2c3c(c1)Oc1ccccc1B3c1ccccc1O2
50,c1ccc(-c2nc(-c3ccccc3)nc(-c3c4ccccc4c(-c4c5ccccc5c(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)c5ccccc45)c4ccccc34)n2)cc1
1052,CC(C)(C)c1ccc2[nH]c3c(P(=O)(c4ccccc4)c4ccccc4)cc(C(C)(C)C)cc3c2c1
400,C(=C/c1nc2c3ccccc3c3ccccc3c2n1-c1cccc2ccccc12)\c1ccc(-n2c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1
743,CC(C)(C)c1cc(-c2ccccc2)c2c(c1)c1cc(C(C)(C)C)cc(-c3ccccc3)c1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1
345,c1ccc(-c2nc3c4cccc5ccc6cccc(c6c54)c3n2-c2ccc(-c3c4ccccc4c(-c4ccc(-n5c(-c6ccccc6)nc6c7cccc8ccc9cccc(c9c87)c65)cc4)c4ccccc34)cc2)cc1
116,N#Cc1ccc2c(c1)c1ccccc1n2-c1cc2c3ccccc3n(-c3ccccc3)c2c(-n2c3ccccc3c3cc(C#N)ccc32)c1C#N
1095,CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)c2c1ccc1c2oc2ccccc21
73,CC1(C)c2ccccc2S(=O)(=O)c2ccc(-c3ccc4ccc5cccc6ccc3c4c56)cc21
794,CC(C)(C)c1ccc(-n2c(-c3ccc(OCCCCn4c5ccccc5c5ccccc54)cc3)nc3c4ccccc4c4ccccc4c32)cc1
625,c1ccc(-c2cc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc3ncnn23)cc1
241,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5c6c(c7ccccc7n6-c6ccccc6)c6c(c7ccccc7n6-c6ccccc6)c54)cc3)n2)cc1
286,N#Cc1ccc(-n2c(-c3ccc(-c4ccc5c(c4)C(=O)c4ccccc4-5)cc3)nc3c4ccccc4c4ccccc4c32)cc1
1085,CCCCc1ccc(C2(c3ccc(CCCC)cc3)c3cc(F)ccc3-c3cc4c(cc32)-c2cc3c(cc2C4(c2ccc(CCCC)cc2)c2ccc(CCCC)cc2)-c2ccc(N(c4ccccc4)c4ccccc4)cc2C3(C)C)cc1
193,CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-n4c5ccccc5c5c6c(c7ccccc7n6-c6ccccc6)c6c(c7ccccc7n6-c6ccccc6)c54)cc(c31)O2
104,Clc1ccc(C2=C(c3ccc(Cl)cc3)[Si]3(C(c4ccccc4)=C(c4ccccc4)C(c4ccccc4)=C3c3ccccc3)C(c3ccc(Cl)cc3)=C2c2ccc(Cl)cc2)cc1
572,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4cc5c6ccccc6n(-c6ccccc6)c5cc43)n2)cc1
396,c1ccc2c(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccc(-c4nc5c6ccccc6c6ccccc6c5n4-c4cccc5ccccc45)cc3)cccc2c1
952,CC1(C)c2cc(C#N)ccc2-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc21
